Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,mTurkId,BirthYear,birthYear,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11,pv12,pv13,pv14,pv15,pv16,pv17,pv18,pv19,pv20,pv21,amzConnect,amxConnect,aplConnect,bmwConnect,budConnect,cheConnect,chvConnect,ckeConnect,disConnect,fbkConnect,gglConnect,harConnect,hboConnect,ikeConnect,legConnect,levConnect,mcdConnect,mbeConnect,nikConnect,pepConnect,swaConnect,sbxConnect,tarConnect,toyConnect,visConnect,primBSC,primPRM,primOE,primPurch,primNPS - Group,primNPS,primTraits - Groups - Choose up to 3 words,primTraits - Ranks - Choose up to 3 words - Friendly - Rank,primTraits - Ranks - Choose up to 3 words - Reliable - Rank,primTraits - Ranks - Choose up to 3 words - Caring - Rank,primTraits - Ranks - Choose up to 3 words - Trustworthy - Rank,primTraits - Ranks - Choose up to 3 words - Cool - Rank,primTraits - Ranks - Choose up to 3 words - Creative - Rank,primTraits - Ranks - Choose up to 3 words - Simple - Rank,primTraits - Ranks - Choose up to 3 words - Innovative - Rank,primTraits - Ranks - Choose up to 3 words - Convenient - Rank,primTraits - Ranks - Choose up to 3 words - Exclusive - Rank,primTraits - Ranks - Choose up to 3 words - Exciting - Rank,primDist,secBSC,secPRM,secOE,secPurch,secNPS - Group,secNPS,secTraits - Groups - Choose up to 3 words,secTraits - Ranks - Choose up to 3 words - Friendly - Rank,secTraits - Ranks - Choose up to 3 words - Reliable - Rank,secTraits - Ranks - Choose up to 3 words - Caring - Rank,secTraits - Ranks - Choose up to 3 words - Trustworthy - Rank,secTraits - Ranks - Choose up to 3 words - Cool - Rank,secTraits - Ranks - Choose up to 3 words - Creative - Rank,secTraits - Ranks - Choose up to 3 words - Simple - Rank,secTraits - Ranks - Choose up to 3 words - Innovative - Rank,secTraits - Ranks - Choose up to 3 words - Convenient - Rank,secTraits - Ranks - Choose up to 3 words - Exclusive - Rank,secTraits - Ranks - Choose up to 3 words - Exciting - Rank,secDist,zip,attentionCK - Selected Choice,attentionCK - Other - Text,education,employment,relStatus,hispanic,ethnicity - Selected Choice,ethnicity - Other (please specify) - Text,secBSC,Score,RVid,isNew,Score,GeoIP,Country,OldId,OldIDDate,Domain,FraudProfileScore,FPF1,FPF2,FPF3,FPF4,FPF5,FPF6,FPF7,FPF8,FPF9,FPF10,FPF11,FPF12,FPF13,FPF14,FraudFlagCount,RVIDHash2,isMobile,WhiteList,SurveyCode,SubPron,ObjPron,PosPron,SelfPron,DrillDown,Code1,Brand,Image,Code2,CompleteOverall
6/5/18 12:24,6/5/18 12:29,1,,100,310,1,6/5/18 12:29,R_1kSvH6ntRLPxuvA,,,,,34.0565033,-118.4136047,preview,EN,A81279879279234,1,1969,5,2,3,5,3,3,3,4,2,4,6,4,6,3,3,3,3,4,2,1,3,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,3,4,classy,3,2,8,"11,4",,,,2,,,,,,1,,3,3,5,professional,1,2,8,"11,2,5",,2,,,,,,,3,1,,4,90403,,,6,1,1,2,1,,9,10,BC33EB44-DD8F-4E61-B362-F067F4442ADA,FALSE,100,1,US,R_ONJin8u4JqSIzwl-1528222710581,6/5/18 14:14,cogentco.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4f2732bba2c2859f1541d1416fade2df2a11a22c254c35af617300eefe77056e,0,1,24644829,he,him,his,himself,0,MBE,AMERICAN EXPRESS,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg9d5jxwNZPhNjf,AMX,
6/5/18 12:34,6/5/18 12:48,1,,100,848,1,6/5/18 12:48,R_1CBjaluPZqolBuE,,,,,34.0565033,-118.4136047,preview,EN,val,2,1974,5,6,6,6,4,3,1,4,2,4,6,4,4,6,6,2,6,6,5,1,5,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,3,3,funny,4,2,7,"7,1,8",2,,,,,1,3,,,,,3,4,4,corner,16,2,7,6,,,,,1,,,,,,,3,90019,,,4,1,1,1,1,,8,11,427B4840-5FF4-4136-9297-1214A2F93876,TRUE,0,1,US,0,1/1/0001 12:00:00 AM,cogentco.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51e9cd75104f0d43230d6791f5eddbc390538ae81a424550706990b3e6465698,0,,39146123,she,her,her,herself,0,SWA,BMW,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6DasTKesVduUbfD,BMW,
6/5/18 15:02,6/5/18 15:18,1,,100,996,1,6/5/18 15:19,R_3enbe3kzwrxdgby,,,,,34.0565033,-118.4136047,preview,EN,sagasg,1,1994,5,3,6,4,2,4,2,3,2,5,6,6,6,4,6,2,4,6,6,2,6,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,3,4,Grandmother,3,1,3,"2,12",,1,,,,,,,,,2,2,3,2,shows,1,3,9,"7,12,11",,,,,,1,,,,3,2,3,70001,,,4,1,5,1,1,,2,8,01FCC6EC-B2ED-46F0-B71E-AA0E9221DF2A,TRUE,2,1,US,0,1/1/0001 12:00:00 AM,cogentco.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776ee741e18339a782d4d76831575c00e698c49a0f25f84b4e0957b1d91788e,0,,94317050,he,him,his,himself,0,BUD,HBO,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7VzNzoICEQt451P,HBO,
6/5/18 15:42,6/5/18 15:47,1,,100,288,1,6/5/18 15:47,R_2EjjTdzJt1bcjez,,,,,34.0565033,-118.4136047,preview,EN,A378686842342,1,1969,6,3,3,6,3,3,2,4,2,4,6,3,6,3,4,4,4,5,4,1,4,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,2,2,4,5,classy,1,2,8,"11,4",,,,2,,,,,,1,,3,3,4,exclusive,1,2,8,"4,11,2",,3,,1,,,,,,2,,3,90403,,,6,1,1,2,1,,9,12,BC33EB44-DD8F-4E61-B362-F067F4442ADA,FALSE,100,1,US,R_yOML7Fh82d9CnYZ-1528237461804,6/5/18 18:20,cogentco.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5365263827e16c38af27bce3763b10bdcb41e2a3d033293daad70c94f1398063,0,1,15731626,he,him,his,himself,0,MBE,AMERICAN EXPRESS,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg9d5jxwNZPhNjf,AMX,1
6/5/18 16:22,6/5/18 16:26,0,68.63.12.89,100,199,1,6/5/18 16:26,R_3oSGbVVR4PMhKsD,,,,,31.15029907,-85.41139984,anonymous,EN,A7KLTVEIASF4J,1,1991,3,4,2,4,4,4,5,4,4,3,4,6,5,3,4,4,5,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,soda,3,1,2,"9,2,5",,2,,,,,,1,3,,,3,1,5,shoes,3,1,4,"1,4,11",1,,,2,,,,,,3,,3,66502,11,brand,5,1,5,1,1,,4,2,E74ACCE9-99CC-4A07-9EB4-0E4DCE22FFBD,TRUE,0,1,US,0,1/1/0001 12:00:00 AM,comcast.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8edab3f8a589b4ca739c8a231a3f5fb8464346d869eb3483cefdf578ff7bf51a,0,,72187150,he,him,his,himself,0,PEP,NIKE,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9vHhUcem0Qu83Y1,NIK,1
6/5/18 16:22,6/5/18 16:26,0,172.11.220.144,100,279,1,6/5/18 16:26,R_29p6GrHHkuYI8ji,,,,,39.6473999,-84.15730286,anonymous,EN,A2WWYVKGZZXBOB,1,1981,4,3,5,4,5,4,4,3,4,3,3,3,3,5,3,4,3,3,2,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,blank,5,1,0,"11,5,9",,,,,,,,3,2,1,,1,,,,,,,,,,,,,,,,,,,,45305,11,brand,4,1,5,2,1,,9,0,C587845A-60B6-4DA8-83D6-53161DB655AB,TRUE,2,1,US,0,1/1/0001 12:00:00 AM,att.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935d583bfd6effcbf8a4cf3cf28c107a98f5c18a81db76174fea9cbdaee101e8,0,,84577744,he,him,his,himself,0,,,,,1
6/5/18 16:22,6/5/18 16:27,0,174.47.173.254,100,280,1,6/5/18 16:27,R_2rA8jfILINDGxeh,,,,,30.13749695,-93.45290375,anonymous,EN,A326O3VWP8TO8N,1,1991,3,4,5,3,4,3,4,5,3,4,5,4,3,4,4,3,3,4,5,1,4,1,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,furniture,2,2,7,"8,5,1",3,,,,,,1,,2,,,3,3,3,athletics ,2,1,6,"3,2,4",,2,1,3,,,,,,,,3,70601,11,brand,5,1,5,2,1,,3,6,5F4B245E-8B04-433D-868E-46551AFAFC6D,TRUE,2,1,US,0,1/1/0001 12:00:00 AM,twtelecom.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40fb34be835686df31f62b070cc6fba5da6a6f2bc1cf87f24b695127ed0362aa,0,,51920403,he,him,his,himself,0,IKE,NIKE,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9vHhUcem0Qu83Y1,NIK,1
6/5/18 16:22,6/5/18 16:27,0,50.250.149.131,100,305,1,6/5/18 16:27,R_vf9k098V6n6i0CZ,,,,,38.87649536,-104.8287964,anonymous,EN,A313JEGCVV2UES,1,1988,4,3,6,4,4,3,1,5,2,3,5,3,3,2,2,2,2,3,4,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,fun,4,2,8,"7,6,1",3,,,,2,1,,,,,,2,,,,,,,,,,,,,,,,,,,,80919,11,brand,3,5,5,2,1,,1,1,03D6255B-D85F-4FF1-BF0C-F43205E6BB20,TRUE,2,1,US,0,1/1/0001 12:00:00 AM,comcast.net,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7a0133a79659d9319e370d9551cc7602934aa3c871f5efa190baa51e9b74d931,0,,42287389,he,him,his,himself,1,LEG,LEGO,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dam8ZrAjMv8y8v3,,1
6/5/18 16:22,6/5/18 16:28,0,173.169.91.101,100,345,1,6/5/18 16:28,R_2aEUbVf3kepFwxZ,,,,,27.78970337,-82.728302,anonymous,EN,ADT6AD3LK64AH,1,1985,4,3,5,4,2,4,4,5,5,5,6,3,5,6,2,5,2,4,4,4,5,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,4,4,ease,1,2,8,"8,2,1",3,2,,,,,1,,,,,4,4,4,quality,1,2,7,"2,11,7",,1,,,,3,,,,2,,4,33710,11,brand,2,1,2,2,1,,4,10,2048C60C-6637-4C6B-B063-617E894F3E4B,TRUE,2,1,US,0,1/1/0001 12:00:00 AM,twcable.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d7d6686379d5e966b6a8a7f95538d78ff9ee874657f1e795b04ea22455cc5b58,0,,51089569,he,him,his,himself,0,AMX,LEVI'S,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2bj54WXn7qUlY3P,LEV,1
6/5/18 16:22,6/5/18 16:28,0,99.56.221.155,100,399,1,6/5/18 16:28,R_1EZEjlmCS1rVD4g,,,,,26.27200317,-80.25800323,anonymous,EN,AFZKP8TAXAUCR,1,1993,2,5,3,2,5,2,1,2,4,4,3,4,3,3,2,4,2,4,2,1,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,Mickey,4,2,8,"12,1,4",2,,,3,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,33065,11,brand,4,1,5,2,1,,1,1,1B2AADFA-8651-4262-A8CF-F6E71F7B1768,TRUE,2,1,US,0,1/1/0001 12:00:00 AM,att.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407d670f8856bc965ade5028d41a3d0af451a33ab4a4b9a124e3daf62ca5e8e0,0,,95222783,he,him,his,himself,1,DIS,DISNEY,https://unitedtalent.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1H5ARK1O8SND12t,,1
